customer_id,first_name,last_name,email,segment,region,acquisition_date
CUST_000001,Daniel,Figueroa,daniel.figueroa@walker.com,Standard,Central,2023-09-21
CUST_000002,Joy,Gardner,joy.gardner@henderson.net,Standard,Central,2023-11-18
CUST_000003,Anthony,Gonzalez,anthony.gonzalez@miles.com,Standard,South,2023-07-25
CUST_000004,Misty,Blake,misty.blake@wolfe.com,Standard,East,2024-06-11
CUST_000005,Jason,Gallagher,jason.gallagher@davis.com,Standard,Central,2021-08-30
CUST_000006,Maurice,Baker,maurice.baker@blair.com,Standard,East,2024-08-09
CUST_000007,Christian,Carter,christian.carter@montgomery.com,Premium,South,2022-08-12
CUST_000008,Donna,Mejia,donna.mejia@wyatt.biz,Standard,South,2021-03-13
CUST_000009,Shawn,Flowers,shawn.flowers@wood.com,Standard,Central,2022-03-08
CUST_000010,Sharon,Wong,sharon.wong@reid.info,Standard,South,2023-12-27
CUST_000011,Joseph,Schaefer,joseph.schaefer@hawkins.com,Standard,West,2022-08-13
CUST_000012,Lydia,Trujillo,lydia.trujillo@adams-clark.org,Premium,East,2021-12-22
CUST_000013,Jennifer,Lewis,jennifer.lewis@foster-rocha.info,Standard,South,2024-09-23
CUST_000014,Joseph,Wright,joseph.wright@ryan.org,Premium,West,2021-08-10
CUST_000015,Michael,Osborn,michael.osborn@hicks.com,Standard,East,2022-09-13
CUST_000016,Daniel,Burton,daniel.burton@henderson.info,Standard,West,2024-08-30
CUST_000017,John,Tran,john.tran@frazier.net,Standard,East,2023-04-02
CUST_000018,Joseph,Davidson,joseph.davidson@carter.info,Budget,Central,2024-03-12
CUST_000019,Stephanie,Liu,stephanie.liu@stanton-gill.net,Standard,South,2021-01-06
CUST_000020,Daniel,Garrett,daniel.garrett@romero.com,Budget,West,2024-11-18
CUST_000021,Stephanie,Nielsen,stephanie.nielsen@george.com,Standard,South,2023-04-18
CUST_000022,Sarah,Koch,sarah.koch@allen-allen.org,Standard,Central,2021-06-23
CUST_000023,Christopher,Tucker,christopher.tucker@spence.com,Standard,West,2021-05-03
CUST_000024,Donna,Arroyo,donna.arroyo@baker.biz,Standard,West,2021-07-19
CUST_000025,Sarah,Campos,sarah.campos@harris.com,Standard,East,2021-11-26
CUST_000026,Rachel,Hayes,rachel.hayes@walker.com,Budget,West,2022-11-12
CUST_000027,Angela,Chapman,angela.chapman@jones.com,Standard,West,2023-07-03
CUST_000028,Carlos,Johnson,carlos.johnson@jones-young.info,Standard,South,2021-12-22
CUST_000029,Amber,Cummings,amber.cummings@johnston.biz,Standard,Central,2021-11-29
CUST_000030,Clinton,Hopkins,clinton.hopkins@henderson-owens.com,Budget,South,2021-10-23
CUST_000031,Denise,Lucas,denise.lucas@powell.com,Standard,South,2023-11-13
CUST_000032,James,Herrera,james.herrera@henderson.info,Budget,West,2022-01-22
CUST_000033,Nancy,Jones,nancy.jones@garcia.com,Premium,Central,2022-01-24
CUST_000034,Sara,Allison,sara.allison@russell.com,Standard,South,2021-05-25
CUST_000035,Richard,Brown,richard.brown@smith-myers.info,Standard,South,2024-09-05
CUST_000036,Rodney,Bernard,rodney.bernard@stanley.com,Budget,West,2022-03-20
CUST_000037,Beth,Daniels,beth.daniels@edwards.net,Standard,North,2021-04-01
CUST_000038,Brian,Romero,brian.romero@jones.com,Standard,Central,2021-09-02
CUST_000039,David,Zamora,david.zamora@riley.org,Premium,North,2022-09-20
CUST_000040,Robert,Silva,robert.silva@stewart.com,Budget,West,2021-05-08
CUST_000041,Joseph,Anderson,joseph.anderson@evans.com,Standard,East,2022-01-06
CUST_000042,Stephen,Murillo,stephen.murillo@jones.net,Standard,East,2021-01-15
CUST_000043,David,Bailey,david.bailey@suarez.com,Budget,East,2022-02-16
CUST_000044,Samuel,Daniels,samuel.daniels@carr-archer.net,Premium,South,2021-09-03
CUST_000045,Elizabeth,Spencer,elizabeth.spencer@garcia.com,Premium,North,2021-01-13
CUST_000046,Angela,Nelson,angela.nelson@clark.com,Standard,South,2024-02-28
CUST_000047,Tracy,Whitehead,tracy.whitehead@davis.com,Premium,Central,2023-02-25
CUST_000048,Adam,Wise,adam.wise@whitney.biz,Standard,East,2021-03-10
CUST_000049,Alec,Jones,alec.jones@mckee.org,Standard,East,2023-05-22
CUST_000050,Earl,Anderson,earl.anderson@diaz-fitzpatrick.com,Premium,East,2023-05-09
CUST_000051,Michael,Fleming,michael.fleming@garcia.biz,Budget,South,2024-10-28
CUST_000052,Kara,Frost,kara.frost@hancock.biz,Standard,East,2023-08-23
CUST_000053,Harry,Middleton,harry.middleton@pham-shields.com,Standard,South,2021-02-08
CUST_000054,Erik,Haynes,erik.haynes@brennan-garrison.com,Premium,Central,2022-02-19
CUST_000055,Lisa,Stevens,lisa.stevens@hoover-savage.com,Standard,North,2021-11-07
CUST_000056,Donna,Ross,donna.ross@lin-rasmussen.com,Standard,West,2021-02-06
CUST_000057,Darlene,Ross,darlene.ross@rivera.com,Budget,Central,2022-06-30
CUST_000058,Beverly,Terrell,beverly.terrell@rodriguez.com,Standard,Central,2021-10-05
CUST_000059,Kristin,Graham,kristin.graham@wilson.com,Standard,East,2024-02-06
CUST_000060,Ryan,Meyer,ryan.meyer@mcdaniel.com,Standard,West,2024-01-07
CUST_000061,Ryan,Rush,ryan.rush@hanson-alvarado.com,Budget,Central,2022-07-20
CUST_000062,Rachel,Hunter,rachel.hunter@ortiz.com,Standard,Central,2024-01-24
CUST_000063,Robert,Bentley,robert.bentley@adkins.biz,Budget,West,2021-10-26
CUST_000064,Martha,Torres,martha.torres@jordan.org,Standard,West,2023-05-02
CUST_000065,Marco,Ramos,marco.ramos@lewis.com,Budget,East,2023-10-15
CUST_000066,Christopher,Robertson,christopher.robertson@harvey.com,Standard,West,2023-10-21
CUST_000067,Lance,Drake,lance.drake@johnson.info,Standard,North,2023-11-12
CUST_000068,Melissa,Jones,melissa.jones@mercado-johnston.biz,Standard,East,2023-08-08
CUST_000069,Reginald,Hernandez,reginald.hernandez@smith.com,Standard,West,2023-02-07
CUST_000070,Ronald,Thompson,ronald.thompson@holmes.com,Standard,East,2024-04-24
CUST_000071,Dennis,Marshall,dennis.marshall@travis.info,Premium,East,2022-12-11
CUST_000072,Lisa,Mcclain,lisa.mcclain@rivas-kelley.com,Standard,Central,2023-08-10
CUST_000073,Michelle,Cole,michelle.cole@larsen.net,Standard,South,2024-03-01
